Id,Regione,Titolo,Codice,Descrizione,Importo
IT-ABRUZZO,Abruzzo,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1100,Compartecipazione alla spesa per prestazioni sanitarie (ticket),38554908.34
IT-ABRUZZO,Abruzzo,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1200,Entrate da Regione e Province autonome per prestazioni sanitarie e sociosanitarie a rilevanza sanitaria,8472071.35
IT-ABRUZZO,Abruzzo,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1301,Entrate da aziende sanitarie della Regione/Provincia autonoma per prestazioni sanitarie e sociosanitarie a rilevanza sanitaria,1324376.92
IT-ABRUZZO,Abruzzo,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1302,Entrate da aziende ospedaliere della Regione/Provincia autonoma per prestazioni sanitarie e sociosanitarie a rilevanza sanitaria,15.81
IT-ABRUZZO,Abruzzo,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1400,Entrate per prestazioni sanitarie e sociosanitarie a rilevanza sanitaria ad altre Amministrazioni pubbliche,615908.77
IT-ABRUZZO,Abruzzo,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1500,Entrate per prestazioni sanitarie erogate a soggetti privati,9022636.17
IT-ABRUZZO,Abruzzo,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1600,Entrate per prestazioni sanitarie erogate in regime di intramoenia,7703879.2
IT-ABRUZZO,Abruzzo,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1650,Entrate derivanti dalla vendita di beni di consumo,1214014.19
IT-ABRUZZO,Abruzzo,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1700,Entrate per prestazioni non sanitarie,6713129.58
IT-ABRUZZO,Abruzzo,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1800,Entrate per prestazioni di servizi derivanti da sopravvenienze attive,1292994.78
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2101,Contributi e trasferimenti correnti da Stato,13108986.36
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2102,Contributi e trasferimenti correnti da Regione e Prov. Autonoma per quota fondo sanitario regionale indistinto,2399824234
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2103,Contributi e trasferimenti correnti da Regione e Prov. Autonoma per quota fondo sanitario regionale vincolato,15163254.26
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2104,Contributi e trasferimenti correnti da Regione e Prov. Autonoma extra fondo sanitario vincolato,700488.34
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2105,Altri contributi e trasferimenti correnti da Regione e Prov. Autonoma,86249391.35
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2106,Contributi e trasferimenti correnti da province,24590
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2111,Contributi e trasferimenti correnti da aziende sanitarie,150613.56
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2112,Contributi e trasferimenti correnti da aziende ospedaliere,9000
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2114,Contributi e trasferimenti correnti dagli Istituti Zooprofilattici sperimentali,240610.27
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2121,Contributi e trasferimenti correnti da Universita',10443.52
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2123,Contributi e trasferimenti correnti da ARPA,9863.7
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2199,Contributi e trasferimenti correnti da altre Amministrazioni pubbliche,252317.02
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2201,Contributi e trasferimenti correnti da Imprese,418729.33
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2202,Donazioni da imprese,33146.5
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2203,Contributi e trasferimenti correnti da Famiglie,6984.66
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2204,Donazioni da famiglie,400
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2205,Contributi e trasferimenti correnti da Istituzioni sociali senza fine di lucro,9750
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2301,Contributi e trasferimenti correnti da Unione Europea,1020931.5
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI CORRENTI,2302,Contributi e trasferimenti correnti da altre istituzioni estere,605144.32
IT-ABRUZZO,Abruzzo,ALTRE ENTRATE CORRENTI,3101,Rimborsi assicurativi,1611362.05
IT-ABRUZZO,Abruzzo,ALTRE ENTRATE CORRENTI,3102,Rimborsi spese per personale comandato,1047313.01
IT-ABRUZZO,Abruzzo,ALTRE ENTRATE CORRENTI,3103,Rimborsi per l'acquisto di beni per conto di altre strutture sanitarie,29099.49
IT-ABRUZZO,Abruzzo,ALTRE ENTRATE CORRENTI,3104,Restituzione fondi economali,135482.48
IT-ABRUZZO,Abruzzo,ALTRE ENTRATE CORRENTI,3105,Riscossioni IVA,612236.65
IT-ABRUZZO,Abruzzo,ALTRE ENTRATE CORRENTI,3106,Altri concorsi - recuperi e rimborsi,8359226.06
IT-ABRUZZO,Abruzzo,ALTRE ENTRATE CORRENTI,3201,Fitti attivi,740051.4
IT-ABRUZZO,Abruzzo,ALTRE ENTRATE CORRENTI,3202,Interessi attivi,27168.62
IT-ABRUZZO,Abruzzo,ALTRE ENTRATE CORRENTI,3203,Proventi finanziari,5.12
IT-ABRUZZO,Abruzzo,ALTRE ENTRATE CORRENTI,3204,Altri proventi,388109.58
IT-ABRUZZO,Abruzzo,ENTRATE DERIVANTI DA ALIENAZIONI DI BENI,4101,Alienazione di terreni e giacimenti,4110
IT-ABRUZZO,Abruzzo,ENTRATE DERIVANTI DA ALIENAZIONI DI BENI,4102,Alienazione di fabbricati,7968950
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI IN C/CAPITALE,5102,Contributi e trasferimenti da Regione e Prov. Autonoma per ripiani perdite,142751165.5
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI IN C/CAPITALE,5103,Contributi e trasferimenti da Regione e Prov. Autonoma per finanziamenti di investimenti e fondo di dotazione,17566495.01
IT-ABRUZZO,Abruzzo,CONTRIBUTI E TRASFERIMENTI IN C/CAPITALE,5202,Contributi e trasferimenti in c/capitale da Famiglie,1300
IT-ABRUZZO,Abruzzo,OPERAZIONI FINANZIARIE,6200,Prelievi dai conti di tesoreria unica relativi alle gestioni stralcio e alla spesa in conto capitale,299800.97
IT-ABRUZZO,Abruzzo,OPERAZIONI FINANZIARIE,6500,Altre operazioni finanziarie,4612015.48
IT-ABRUZZO,Abruzzo,OPERAZIONI FINANZIARIE,6910,Ritenute erariali,93585.35
IT-ABRUZZO,Abruzzo,OPERAZIONI FINANZIARIE,6911,Ritenute previdenziali e assistenziali al personale,30259.4
IT-ABRUZZO,Abruzzo,OPERAZIONI FINANZIARIE,6912,Altre ritenute al personale per conto di terzi,1412.7
IT-ABRUZZO,Abruzzo,INCASSI DA REGOLARIZZARE,9998,Incassi da regolarizzare derivanti dalle anticipazioni di cassa (riscossioni codificate dal cassiere),0
IT-ABRUZZO,Abruzzo,INCASSI DA REGOLARIZZARE,9999,Altri incassi da regolarizzare (riscossioni codificate dal cassiere),226153.46
IT-BASILICATA,Basilicata,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1100,Compartecipazione alla spesa per prestazioni sanitarie (ticket),11694996.27
IT-BASILICATA,Basilicata,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1200,Entrate da Regione e Province autonome per prestazioni sanitarie e sociosanitarie a rilevanza sanitaria,1691195.41
IT-BASILICATA,Basilicata,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1301,Entrate da aziende sanitarie della Regione/Provincia autonoma per prestazioni sanitarie e sociosanitarie a rilevanza sanitaria,245443.56
IT-BASILICATA,Basilicata,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1302,Entrate da aziende ospedaliere della Regione/Provincia autonoma per prestazioni sanitarie e sociosanitarie a rilevanza sanitaria,6884.79
IT-BASILICATA,Basilicata,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1303,Entrate da IRCCS pubblici e Fondazioni IRCCS della Regione/Provincia autonoma per prestazioni sanitarie e sociosanitarie a rilevanza sanitaria,77875.68
IT-BASILICATA,Basilicata,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1400,Entrate per prestazioni sanitarie e sociosanitarie a rilevanza sanitaria ad altre Amministrazioni pubbliche,1560310.75
IT-BASILICATA,Basilicata,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1500,Entrate per prestazioni sanitarie erogate a soggetti privati,2399872.14
IT-BASILICATA,Basilicata,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1600,Entrate per prestazioni sanitarie erogate in regime di intramoenia,4042700.91
IT-BASILICATA,Basilicata,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1700,Entrate per prestazioni non sanitarie,5133475.61
IT-BASILICATA,Basilicata,ENTRATE DERIVANTI DALLA PRESTAZIONE DI SERVIZI,1800,Entrate per prestazioni di servizi derivanti da sopravvenienze attive,25703.14
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2101,Contributi e trasferimenti correnti da Stato,4493637.33
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2102,Contributi e trasferimenti correnti da Regione e Prov. Autonoma per quota fondo sanitario regionale indistinto,1061871942
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2103,Contributi e trasferimenti correnti da Regione e Prov. Autonoma per quota fondo sanitario regionale vincolato,165610.2
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2104,Contributi e trasferimenti correnti da Regione e Prov. Autonoma extra fondo sanitario vincolato,606475.8
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2105,Altri contributi e trasferimenti correnti da Regione e Prov. Autonoma,2347355.7
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2106,Contributi e trasferimenti correnti da province,3000
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2108,Contributi e trasferimenti correnti da comuni,65026.76
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2110,Contributi e trasferimenti correnti da comunita' montane,389981.64
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2111,Contributi e trasferimenti correnti da aziende sanitarie,8832.1
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2121,Contributi e trasferimenti correnti da Universita',13000
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2199,Contributi e trasferimenti correnti da altre Amministrazioni pubbliche,5583.32
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2201,Contributi e trasferimenti correnti da Imprese,26340.13
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2202,Donazioni da imprese,16000
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2205,Contributi e trasferimenti correnti da Istituzioni sociali senza fine di lucro,302489.02
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI CORRENTI,2206,Donazioni da istituzioni sociali senza fine di lucro,35000
IT-BASILICATA,Basilicata,ALTRE ENTRATE CORRENTI,3101,Rimborsi assicurativi,557223.67
IT-BASILICATA,Basilicata,ALTRE ENTRATE CORRENTI,3102,Rimborsi spese per personale comandato,277900.12
IT-BASILICATA,Basilicata,ALTRE ENTRATE CORRENTI,3104,Restituzione fondi economali,173666.04
IT-BASILICATA,Basilicata,ALTRE ENTRATE CORRENTI,3105,Riscossioni IVA,201297.48
IT-BASILICATA,Basilicata,ALTRE ENTRATE CORRENTI,3106,Altri concorsi - recuperi e rimborsi,2363451.27
IT-BASILICATA,Basilicata,ALTRE ENTRATE CORRENTI,3201,Fitti attivi,131962.97
IT-BASILICATA,Basilicata,ALTRE ENTRATE CORRENTI,3202,Interessi attivi,12727.9
IT-BASILICATA,Basilicata,ALTRE ENTRATE CORRENTI,3204,Altri proventi,1013410.27
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI IN C/CAPITALE,5101,Contributi e trasferimenti in c/capitale da Stato,1903441.9
IT-BASILICATA,Basilicata,CONTRIBUTI E TRASFERIMENTI IN C/CAPITALE,5102,Contributi e trasferimenti da Regione e Prov. Autonoma per ripiani perdite,14837807.98
