ID,NAME,LAT,LON,CAPOLUOGO
IT-ABRUZZO,Abruzzo,42.354008,13.391992,L'Aquila
IT-BASILICATA,Basilicata,40.633333,15.8,Potenza
IT-CALABRIA,Calabria,38.114444,15.65,Reggio Calabria
IT-CAMPANIA,Campania,40.833333,14.25,Napoli
IT-EMILIA-ROMAGNA,Emilia Romagna,44.510556,10.956944,Bologna
IT-FRIULI-VENEZIA-GIULIA,Friuli Venezia Giulia,45.636111,13.804167,Trieste
IT-LAZIO,Lazio,41.893056,12.482778,Roma
IT-LIGURIA,Liguria,44.407186,8.933983,Genova
IT-LOMBARDIA,Lombardia,45.464161,9.190336,Milano
IT-MARCHE,Marche,43.616944,13.516667,Ancona
IT-MOLISE,Molise,41.566667,14.666667,Campobasso
IT-PIEMONTE,Piemonte,45.066667,7.7,Torino
IT-PUGLIA,Puglia,41.125278,16.866667,Bari
IT-SARDEGNA,Sardegna,39.216667,9.116667,Cagliari
IT-SICILIA,Sicilia,38.115658,13.361262,Palermo
IT-TOSCANA,Toscana,43.771389,11.254167,Firenze
IT-TRENTINO-ALTO-ADIGE,Trentino Alto Adige,46.066667,11.116667,Trento
IT-UMBRIA,Umbria,43.1121,12.3888,Perugia
IT-VALLE-DA-AOSTA,Valle d'Aosta,45.737222,7.320556,Aosta
IT-VENETO,Veneto,45.439722,12.331944,Venice
